time;vehicle;bicycle;person;site;cameraCode
2023-11-29T06:50:00Z;0;0;2;ConsellDeCent Girona;110_8
2023-11-29T06:50:00Z;0;0;2;ConsellDeCent Girona;110_8
2023-11-29T06:50:09Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T06:50:14Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T06:50:35Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T06:50:41Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T06:55:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T06:55:00Z;1;0;0;Valencia EnriqueGranados;110_2
2023-11-29T06:55:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-29T06:55:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T06:55:00Z;3;0;0;Valencia Girona;110_3
2023-11-29T06:55:00Z;0;0;0;ConsellDeCent Girona;110_8
2023-11-29T06:55:00Z;3;0;0;Valencia Rocafort;110_1
2023-11-29T06:55:00Z;0;0;2;ConsellDeCent Girona;110_8
2023-11-29T06:55:00Z;0;0;1;ConsellDeCent EnriqueGranados;110_6
2023-11-29T06:55:00Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T06:55:19Z;0;0;0;ConsellDeCent Rocafort;110_4
2023-11-29T06:55:19Z;0;0;0;ConsellDeCent Rocafort;110_4
2023-11-29T07:00:00Z;0;0;0;ConsellDeCent Rocafort;110_4
2023-11-29T07:00:00Z;0;0;1;ConsellDeCent Girona;110_8
2023-11-29T07:00:00Z;4;0;0;Valencia EnriqueGranados;110_2
2023-11-29T07:00:00Z;1;0;0;Valencia EnriqueGranados;110_2
2023-11-29T07:00:00Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:00:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T07:00:00Z;0;0;0;ConsellDeCent Girona;110_8
2023-11-29T07:00:00Z;0;0;2;ConsellDeCent Rocafort;110_4
2023-11-29T07:00:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T07:00:00Z;0;0;1;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:00:00Z;2;0;0;Valencia Rocafort;110_1
2023-11-29T07:00:09Z;0;0;0;Valencia Girona;110_3
2023-11-29T07:00:29Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:00:53Z;0;0;0;ConsellDeCent Girona;110_8
2023-11-29T07:05:00Z;0;0;2;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:05:00Z;0;0;3;ConsellDeCent Girona;110_8
2023-11-29T07:05:00Z;0;0;1;ConsellDeCent Rocafort;110_4
2023-11-29T07:05:00Z;0;0;0;Valencia Rocafort;110_1
2023-11-29T07:05:00Z;3;0;0;Valencia EnriqueGranados;110_2
2023-11-29T07:05:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T07:05:00Z;0;0;2;ConsellDeCent Girona;110_8
2023-11-29T07:05:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-29T07:05:00Z;6;0;0;Valencia Rocafort;110_1
2023-11-29T07:05:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-29T07:05:00Z;0;0;1;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:05:00Z;4;0;2;Valencia Girona;110_3
2023-11-29T07:05:00Z;0;0;2;ConsellDeCent Rocafort;110_4
2023-11-29T07:05:17Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:10:00Z;0;0;1;Valencia Rocafort;110_1
2023-11-29T07:10:00Z;2;0;5;ConsellDeCent Rocafort;110_4
2023-11-29T07:10:00Z;1;0;1;ConsellDeCent Girona;110_8
2023-11-29T07:10:00Z;0;0;14;ConsellDeCent Girona;110_8
2023-11-29T07:10:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-29T07:10:00Z;0;0;1;ConsellDeCent CompteBorrell;110_5
2023-11-29T07:10:00Z;0;0;1;ConsellDeCent CompteBorrell;110_5
2023-11-29T07:10:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-29T07:10:00Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:10:00Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-29T07:10:00Z;2;0;5;ConsellDeCent Rocafort;110_4
