time;vehicle;bicycle;person;site;cameraCode
2022-09-12T01:00:00Z;4;2;46;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:00:00Z;22;7;69;Valencia Girona;110_3
2022-09-12T01:00:00Z;13;0;3;Valencia Rocafort;110_1
2022-09-12T01:00:00Z;14;10;18;ConsellDeCent Girona;110_8
2022-09-12T01:00:00Z;13;2;19;ConsellDeCent Rocafort;110_4
2022-09-12T01:00:00Z;28;7;32;Valencia EnriqueGranados;110_2
2022-09-12T01:00:00Z;24;4;22;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:05:00Z;46;6;31;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:05:00Z;24;15;75;Valencia Girona;110_3
2022-09-12T01:05:00Z;2;6;38;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:05:00Z;16;3;6;Valencia Rocafort;110_1
2022-09-12T01:05:00Z;45;13;39;Valencia EnriqueGranados;110_2
2022-09-12T01:05:00Z;9;11;46;ConsellDeCent Rocafort;110_4
2022-09-12T01:05:00Z;11;10;36;ConsellDeCent Girona;110_8
2022-09-12T01:10:00Z;45;11;32;Valencia EnriqueGranados;110_2
2022-09-12T01:10:00Z;14;16;52;ConsellDeCent Girona;110_8
2022-09-12T01:10:00Z;17;1;4;Valencia Rocafort;110_1
2022-09-12T01:10:00Z;17;10;61;Valencia Girona;110_3
2022-09-12T01:10:00Z;4;3;20;ConsellDeCent Rocafort;110_4
2022-09-12T01:10:00Z;6;4;52;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:10:00Z;60;1;31;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:15:00Z;10;4;37;ConsellDeCent Rocafort;110_4
2022-09-12T01:15:00Z;21;1;5;Valencia Rocafort;110_1
2022-09-12T01:15:00Z;6;5;13;ConsellDeCent Girona;110_8
2022-09-12T01:15:00Z;19;9;68;Valencia Girona;110_3
2022-09-12T01:15:00Z;38;2;13;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:15:00Z;8;7;58;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:15:00Z;60;10;50;Valencia EnriqueGranados;110_2
2022-09-12T01:20:00Z;34;7;52;Valencia Girona;110_3
2022-09-12T01:20:00Z;10;5;25;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:20:00Z;18;1;10;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:20:00Z;15;11;34;ConsellDeCent Rocafort;110_4
2022-09-12T01:20:00Z;64;10;40;Valencia EnriqueGranados;110_2
2022-09-12T01:20:00Z;22;3;3;Valencia Rocafort;110_1
2022-09-12T01:20:00Z;13;5;35;ConsellDeCent Girona;110_8
2022-09-12T01:25:00Z;44;1;40;Valencia Girona;110_3
2022-09-12T01:25:00Z;10;1;31;ConsellDeCent Rocafort;110_4
2022-09-12T01:25:00Z;15;0;4;Valencia Rocafort;110_1
2022-09-12T01:25:00Z;13;7;55;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:25:00Z;60;2;18;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:25:00Z;51;3;26;Valencia EnriqueGranados;110_2
2022-09-12T01:25:00Z;11;9;33;ConsellDeCent Girona;110_8
2022-09-12T01:30:00Z;23;2;35;Valencia EnriqueGranados;110_2
2022-09-12T01:30:00Z;13;0;1;Valencia Rocafort;110_1
2022-09-12T01:30:00Z;22;1;8;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:30:00Z;28;4;32;Valencia Girona;110_3
2022-09-12T01:30:00Z;11;1;34;ConsellDeCent Rocafort;110_4
2022-09-12T01:30:00Z;13;3;5;ConsellDeCent Girona;110_8
2022-09-12T01:30:00Z;9;8;34;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:35:00Z;10;0;1;Valencia Rocafort;110_1
2022-09-12T01:35:00Z;21;3;48;Valencia Girona;110_3
2022-09-12T01:35:00Z;5;8;20;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:35:00Z;40;5;33;Valencia EnriqueGranados;110_2
2022-09-12T01:35:00Z;12;11;21;ConsellDeCent Girona;110_8
2022-09-12T01:35:00Z;19;1;4;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:35:00Z;2;0;22;ConsellDeCent Rocafort;110_4
2022-09-12T01:40:00Z;11;3;14;ConsellDeCent Girona;110_8
2022-09-12T01:40:00Z;7;8;33;ConsellDeCent Rocafort;110_4
2022-09-12T01:40:00Z;14;3;20;Valencia EnriqueGranados;110_2
2022-09-12T01:40:00Z;4;3;8;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:40:00Z;21;9;28;Valencia Girona;110_3
2022-09-12T01:40:00Z;10;0;3;Valencia Rocafort;110_1
2022-09-12T01:40:00Z;24;0;3;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:45:00Z;5;10;27;ConsellDeCent EnriqueGranados;110_6
2022-09-12T01:45:00Z;12;0;2;Valencia Rocafort;110_1
2022-09-12T01:45:00Z;31;1;15;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:45:00Z;24;9;23;Valencia EnriqueGranados;110_2
2022-09-12T01:45:00Z;10;9;18;ConsellDeCent Girona;110_8
2022-09-12T01:45:00Z;11;11;29;ConsellDeCent Rocafort;110_4
2022-09-12T01:45:00Z;16;6;56;Valencia Girona;110_3
2022-09-12T01:50:00Z;32;6;48;Valencia Girona;110_3
2022-09-12T01:50:00Z;3;1;13;ConsellDeCent Rocafort;110_4
2022-09-12T01:50:00Z;46;1;14;ConsellDeCent CompteBorrell;110_5
2022-09-12T01:50:00Z;44;9;25;Valencia EnriqueGranados;110_2
2022-09-12T01:50:00Z;10;6;8;ConsellDeCent Girona;110_8
2022-09-12T01:50:00Z;11;0;3;Valencia Rocafort;110_1
2022-09-12T01:50:00Z;11;9;38;ConsellDeCent EnriqueGranados;110_6
