time;vehicle;bicycle;person;site;cameraCode
2022-09-07T00:00:00Z;0;0;0;ConsellDeCent Girona;110_8
2022-09-07T00:05:00Z;22;5;99;ConsellDeCent EnriqueGranados;110_6
2022-09-07T00:05:00Z;77;1;5;Valencia Rocafort;110_1
2022-09-07T00:05:00Z;16;3;22;ConsellDeCent Girona;110_8
2022-09-07T00:05:00Z;75;8;68;ConsellDeCent Rocafort;110_4
2022-09-07T00:05:00Z;18;5;81;Valencia Girona;110_3
2022-09-07T00:05:00Z;52;1;7;Valencia EnriqueGranados;110_2
2022-09-07T00:05:00Z;4;1;20;ConsellDeCent CompteBorrell;110_5
2022-09-07T00:10:00Z;2;1;35;ConsellDeCent CompteBorrell;110_5
2022-09-07T00:10:00Z;5;4;21;ConsellDeCent Girona;110_8
2022-09-07T00:10:00Z;89;4;66;ConsellDeCent Rocafort;110_4
2022-09-07T00:10:00Z;42;1;38;Valencia EnriqueGranados;110_2
2022-09-07T00:10:00Z;30;18;92;Valencia Girona;110_3
2022-09-07T00:10:00Z;89;3;21;Valencia Rocafort;110_1
2022-09-07T00:10:00Z;10;12;89;ConsellDeCent EnriqueGranados;110_6
2022-09-07T00:15:00Z;32;9;97;Valencia Girona;110_3
2022-09-07T00:15:00Z;51;4;68;Valencia EnriqueGranados;110_2
2022-09-07T00:15:00Z;61;4;42;ConsellDeCent Rocafort;110_4
2022-09-07T00:15:00Z;4;9;14;ConsellDeCent Girona;110_8
2022-09-07T00:15:00Z;22;10;82;ConsellDeCent EnriqueGranados;110_6
2022-09-07T00:15:00Z;120;0;25;Valencia Rocafort;110_1
2022-09-07T00:15:00Z;8;7;90;ConsellDeCent CompteBorrell;110_5
2022-09-07T00:20:00Z;85;1;20;Valencia Rocafort;110_1
2022-09-07T00:20:00Z;4;5;53;ConsellDeCent CompteBorrell;110_5
2022-09-07T00:20:00Z;62;4;49;Valencia EnriqueGranados;110_2
2022-09-07T00:20:00Z;25;16;59;ConsellDeCent EnriqueGranados;110_6
2022-09-07T00:20:00Z;38;20;78;Valencia Girona;110_3
2022-09-07T00:20:00Z;52;4;37;ConsellDeCent Rocafort;110_4
2022-09-07T00:20:00Z;8;3;27;ConsellDeCent Girona;110_8
2022-09-07T00:25:00Z;31;15;95;Valencia Girona;110_3
2022-09-07T00:25:00Z;98;0;23;Valencia Rocafort;110_1
2022-09-07T00:25:00Z;72;0;31;Valencia EnriqueGranados;110_2
2022-09-07T00:25:00Z;12;12;42;ConsellDeCent EnriqueGranados;110_6
2022-09-07T00:25:00Z;91;14;42;ConsellDeCent Rocafort;110_4
2022-09-07T00:25:00Z;11;7;17;ConsellDeCent Girona;110_8
2022-09-07T00:25:00Z;5;12;27;ConsellDeCent CompteBorrell;110_5
2022-09-07T00:30:00Z;39;7;69;Valencia Girona;110_3
2022-09-07T00:30:00Z;83;1;15;Valencia Rocafort;110_1
2022-09-07T00:30:00Z;9;8;47;ConsellDeCent CompteBorrell;110_5
2022-09-07T00:30:00Z;25;5;48;ConsellDeCent EnriqueGranados;110_6
2022-09-07T00:30:00Z;59;0;40;Valencia EnriqueGranados;110_2
2022-09-07T00:30:00Z;77;6;54;ConsellDeCent Rocafort;110_4
2022-09-07T00:30:00Z;10;3;18;ConsellDeCent Girona;110_8
