time;vehicle;bicycle;person;site;cameraCode
2023-11-25T00:00:00Z;1;0;20;ConsellDeCent Girona;110_8
2023-11-25T00:00:00Z;7;0;0;Valencia EnriqueGranados;110_2
2023-11-24T06:48:00Z;0;0;0;Valencia Rocafort;110_1
2023-11-24T06:50:00Z;2;0;0;Valencia Rocafort;110_1
2023-11-24T06:50:00Z;0;0;0;Valencia Rocafort;110_1
2023-11-24T06:50:00Z;0;0;0;Valencia Girona;110_3
2023-11-24T06:50:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-24T06:50:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-24T06:50:00Z;0;0;1;Valencia Girona;110_3
2023-11-24T06:50:00Z;2;0;0;Valencia Rocafort;110_1
2023-11-24T06:50:04Z;0;0;0;ConsellDeCent Rocafort;110_4
2023-11-24T06:50:04Z;0;0;0;ConsellDeCent Rocafort;110_4
2023-11-24T06:50:31Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-24T06:50:31Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-24T06:50:45Z;0;0;0;ConsellDeCent EnriqueGranados;110_6
2023-11-24T06:52:00Z;2;0;0;Valencia Rocafort;110_1
2023-11-24T06:54:00Z;0;0;0;Valencia Rocafort;110_1
2023-11-24T06:55:00Z;1;0;2;ConsellDeCent Girona;110_8
2023-11-24T06:55:00Z;10;0;3;Valencia Girona;110_3
2023-11-24T06:55:00Z;1;0;2;ConsellDeCent Rocafort;110_4
2023-11-24T06:55:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-24T06:55:00Z;2;0;0;Valencia Rocafort;110_1
2023-11-24T06:55:00Z;1;1;7;ConsellDeCent Girona;110_8
2023-11-24T06:55:00Z;1;0;5;ConsellDeCent Rocafort;110_4
2023-11-24T06:55:00Z;0;0;0;Valencia EnriqueGranados;110_2
2023-11-24T06:55:00Z;0;0;0;Valencia Rocafort;110_1
2023-11-24T06:55:00Z;0;0;3;Valencia Girona;110_3
2023-11-24T06:55:17Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-24T06:55:17Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2023-11-24T06:55:44Z;0;0;0;Valencia Girona;110_3
2023-11-24T06:56:00Z;0;0;0;Valencia Rocafort;110_1
