time;vehicle;bicycle;person;site;cameraCode
2022-09-09T06:55:00Z;12;3;1;ConsellDeCent Rocafort;110_4
2022-09-09T06:55:00Z;12;3;1;ConsellDeCent Rocafort;110_4
2022-09-09T06:55:00Z;10;0;2;Valencia Rocafort;110_1
2022-09-09T06:55:00Z;1;4;21;ConsellDeCent Girona;110_8
2022-09-09T06:55:00Z;9;0;0;ConsellDeCent CompteBorrell;110_5
2022-09-09T06:55:00Z;11;0;5;Valencia EnriqueGranados;110_2
2022-09-09T07:00:00Z;39;0;12;Valencia EnriqueGranados;110_2
2022-09-09T07:00:00Z;21;0;2;Valencia Rocafort;110_1
2022-09-09T07:00:00Z;2;1;4;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:00:00Z;50;7;4;ConsellDeCent Rocafort;110_4
2022-09-09T07:00:00Z;50;7;4;ConsellDeCent Rocafort;110_4
2022-09-09T07:00:00Z;0;0;3;ConsellDeCent Girona;110_8
2022-09-09T07:00:00Z;15;2;22;Valencia Girona;110_3
2022-09-09T07:00:00Z;30;0;0;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:05:00Z;29;4;3;ConsellDeCent Rocafort;110_4
2022-09-09T07:05:00Z;4;0;10;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:05:00Z;23;0;0;Valencia Rocafort;110_1
2022-09-09T07:05:00Z;29;4;43;Valencia Girona;110_3
2022-09-09T07:05:00Z;3;3;3;ConsellDeCent Girona;110_8
2022-09-09T07:05:00Z;29;4;3;ConsellDeCent Rocafort;110_4
2022-09-09T07:05:00Z;36;3;14;Valencia EnriqueGranados;110_2
2022-09-09T07:05:00Z;23;1;1;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:10:00Z;0;2;11;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:10:00Z;31;0;4;ConsellDeCent Rocafort;110_4
2022-09-09T07:10:00Z;17;3;4;Valencia Rocafort;110_1
2022-09-09T07:10:00Z;31;0;4;ConsellDeCent Rocafort;110_4
2022-09-09T07:10:00Z;2;1;5;ConsellDeCent Girona;110_8
2022-09-09T07:10:00Z;32;0;34;Valencia EnriqueGranados;110_2
2022-09-09T07:10:00Z;0;0;0;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:10:00Z;13;4;44;Valencia Girona;110_3
2022-09-09T07:15:00Z;41;1;3;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:15:00Z;6;1;4;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:15:00Z;20;1;13;ConsellDeCent Rocafort;110_4
2022-09-09T07:15:00Z;8;0;39;Valencia Girona;110_3
2022-09-09T07:15:00Z;2;0;5;ConsellDeCent Girona;110_8
2022-09-09T07:15:00Z;20;1;13;ConsellDeCent Rocafort;110_4
2022-09-09T07:15:00Z;23;0;2;Valencia Rocafort;110_1
2022-09-09T07:15:00Z;25;5;27;Valencia EnriqueGranados;110_2
2022-09-09T07:20:00Z;19;2;7;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:20:00Z;3;1;3;ConsellDeCent Girona;110_8
2022-09-09T07:20:00Z;20;1;2;ConsellDeCent Rocafort;110_4
2022-09-09T07:20:00Z;32;2;31;Valencia EnriqueGranados;110_2
2022-09-09T07:20:00Z;20;1;2;ConsellDeCent Rocafort;110_4
2022-09-09T07:20:00Z;22;1;33;Valencia Girona;110_3
2022-09-09T07:20:00Z;28;0;2;Valencia Rocafort;110_1
2022-09-09T07:20:00Z;7;0;18;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:25:00Z;30;2;12;ConsellDeCent Rocafort;110_4
2022-09-09T07:25:00Z;19;0;16;Valencia Girona;110_3
2022-09-09T07:25:00Z;28;1;24;Valencia EnriqueGranados;110_2
2022-09-09T07:25:00Z;29;0;0;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:25:00Z;2;0;4;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:25:00Z;28;0;12;Valencia Rocafort;110_1
2022-09-09T07:25:00Z;30;2;12;ConsellDeCent Rocafort;110_4
2022-09-09T07:25:00Z;0;0;4;ConsellDeCent Girona;110_8
2022-09-09T07:30:00Z;18;0;4;Valencia Rocafort;110_1
2022-09-09T07:30:00Z;21;5;21;Valencia EnriqueGranados;110_2
2022-09-09T07:30:00Z;55;0;0;ConsellDeCent CompteBorrell;110_5
2022-09-09T07:30:00Z;5;5;15;ConsellDeCent EnriqueGranados;110_6
2022-09-09T07:30:00Z;1;1;13;ConsellDeCent Girona;110_8
